date,transfer_count,usdc_volume,BTC_Close,ETH_Close
2024-02-07,59414,7440198247.774488,44318.22265625,2423.7451171875
2024-02-08,55153,8379470561.155462,45301.56640625,2419.906494140625
2024-02-09,52622,7381016560.773154,47147.19921875,2487.515625
2024-02-10,48724,2897691145.316189,47771.27734375,2501.228271484375
2024-02-11,50571,2464117832.068099,48293.91796875,2507.570556640625
2024-02-12,55797,7199023610.691617,49958.22265625,2658.115966796875
2024-02-13,65551,7759182475.882509,49742.44140625,2642.185302734375
2024-02-14,71427,6863096359.020973,51826.6953125,2777.90234375
2024-02-15,70157,5964499678.84515,51938.5546875,2824.37890625
2024-02-16,69943,5768967806.060084,52160.203125,2803.69140625
2024-02-17,57378,2285200186.8069577,51662.99609375,2786.672607421875
2024-02-18,56810,1874932199.898142,52122.546875,2878.998046875
2024-02-19,71383,4384887122.358954,51779.14453125,2943.57470703125
2024-02-20,74130,7035961639.049988,52284.875,3013.503662109375
2024-02-21,64388,6370394748.197842,51839.1796875,2970.35546875
2024-02-22,60122,7600139824.110447,51304.97265625,2971.00732421875
2024-02-23,62479,7335073752.994835,50731.94921875,2921.658203125
2024-02-24,51447,2093700633.4604683,51571.1015625,2992.385986328125
2024-02-25,55849,2202637564.664052,51733.23828125,3112.697265625
2024-02-26,70046,7530505764.01603,54522.40234375,3178.99365234375
2024-02-27,74791,8864914203.51209,57085.37109375,3244.519287109375
2024-02-28,81111,10991171079.282036,62504.7890625,3385.703857421875
2024-02-29,79767,12802282731.966862,61198.3828125,3341.919677734375
2024-03-01,77718,7536800870.420272,62440.6328125,3435.053955078125
2024-03-02,62345,3863291021.4832854,62029.84765625,3422.0498046875
2024-03-03,65130,2866670972.555504,63167.37109375,3490.99365234375
2024-03-04,77779,11296106776.079435,68330.4140625,3630.433837890625
2024-03-05,88772,15199978998.672052,63801.19921875,3554.964599609375
2024-03-06,78885,11595271473.518364,66106.8046875,3819.226318359375
2024-03-07,73262,10671014734.613045,66925.484375,3874.34765625
2024-03-08,71214,12770708252.547651,68300.09375,3892.06103515625
2024-03-09,60926,3524200323.84782,68498.8828125,3915.4189453125
2024-03-10,62279,4750349542.975884,69019.7890625,3881.193115234375
2024-03-11,76301,13067550608.050207,72123.90625,4066.445068359375
2024-03-12,75618,11943652696.219875,71481.2890625,3980.273193359375
2024-03-13,74685,12055327014.53413,73083.5,4006.45703125
2024-03-14,82542,11694285352.966764,71396.59375,3883.140380859375
2024-03-15,94111,14802096271.818151,69403.7734375,3735.22021484375
2024-03-16,75579,5642394556.708584,65315.1171875,3522.860107421875
2024-03-17,72780,4502561436.47784,68390.625,3642.4130859375
2024-03-18,79124,9980561908.3452,67548.59375,3517.985107421875
2024-03-19,95161,16612614781.420156,61912.7734375,3157.6181640625
2024-03-20,89422,15141322778.17804,67913.671875,3513.39306640625
2024-03-21,75153,11436853845.497065,65491.390625,3492.9912109375
2024-03-22,74882,11744620260.19288,63778.76171875,3333.68798828125
2024-03-23,60815,2736544318.5548797,64062.203125,3336.593994140625
2024-03-24,61007,3161809662.0410633,67234.171875,3454.636474609375
2024-03-25,81763,9971028876.44004,69958.8125,3590.8837890625
2024-03-26,79821,10675531628.907728,69987.8359375,3587.5048828125
2024-03-27,77737,11888347304.390842,69455.34375,3500.115234375
2024-03-28,76237,9958549349.376188,70744.953125,3561.2939453125
2024-03-29,75399,11398045346.805548,69892.828125,3511.80615234375
2024-03-30,63903,2809014924.4340124,69645.3046875,3507.9443359375
2024-03-31,63225,3140298388.917152,71333.6484375,3647.8564453125
2024-04-01,79465,12994739570.626492,69702.1484375,3505.030029296875
2024-04-02,96586,15303270164.817192,65446.97265625,3277.234619140625
2024-04-03,79622,11254145954.506994,65980.8125,3311.44189453125
2024-04-04,83246,13174043441.586712,68508.84375,3330.04052734375
2024-04-05,80963,12734386529.965113,67837.640625,3318.88525390625
2024-04-06,62271,2751122600.7659492,68896.109375,3354.183837890625
2024-04-07,60487,3629101415.4796257,69362.5546875,3453.49462890625
2024-04-08,77799,12084630349.97208,71631.359375,3695.292724609375
2024-04-09,78914,10997707554.6956,69139.015625,3505.163330078125
2024-04-10,83364,8876276803.916426,70587.8828125,3543.737060546875
2024-04-11,79332,8519083306.463215,70060.609375,3505.247802734375
2024-04-12,91708,14634739354.714664,67195.8671875,3243.034912109375
2024-04-13,95391,9731449309.627363,63821.47265625,3004.900390625
2024-04-14,95872,7490805340.702596,65738.7265625,3156.94189453125
2024-04-15,94466,11543157735.911585,63426.2109375,3101.600341796875
2024-04-16,93775,11156200083.74416,63811.86328125,3084.920166015625
2024-04-17,80189,10966264159.398111,61276.69140625,2984.7275390625
2024-04-18,84633,10960965437.131302,63512.75390625,3066.027587890625
2024-04-19,92855,15354042162.831083,63843.5703125,3059.278564453125
2024-04-20,67594,3881024386.522625,64994.44140625,3157.627197265625
2024-04-21,66201,4208411774.302509,64926.64453125,3147.28857421875
2024-04-22,78600,12472534760.986263,66837.6796875,3201.652099609375
2024-04-23,75520,8554599358.738295,66407.2734375,3219.91162109375
2024-04-24,78470,12305311317.31243,64276.8984375,3139.80517578125
2024-04-25,77331,11681855258.297762,64481.70703125,3156.509521484375
2024-04-26,78046,6935115664.801189,63755.3203125,3130.164794921875
2024-04-27,69283,3201020085.0653296,63419.140625,3252.168212890625
