date,transfer_count,usdc_volume
2025-06-09 00:00:00.000 UTC,257470,22248732470.87414
2025-06-10 00:00:00.000 UTC,265069,23771940333.43133
2025-06-11 00:00:00.000 UTC,257166,21461581263.59508
2025-06-12 00:00:00.000 UTC,254186,19662005854.931652
2025-06-13 00:00:00.000 UTC,289009,26693400831.3771
2025-06-14 00:00:00.000 UTC,199649,10984628835.87236
2025-06-15 00:00:00.000 UTC,200803,10503966294.462212
2025-06-16 00:00:00.000 UTC,255322,23217920588.518944
2025-06-17 00:00:00.000 UTC,287919,21156992606.869495
2025-06-18 00:00:00.000 UTC,271057,21456982755.205498
2025-06-19 00:00:00.000 UTC,235952,15802309270.979324
2025-06-20 00:00:00.000 UTC,256357,26605276986.41362
2025-06-21 00:00:00.000 UTC,232388,16383200695.322248
2025-06-22 00:00:00.000 UTC,262002,15625716530.774334
2025-06-23 00:00:00.000 UTC,273308,22589133314.39176
2025-06-24 00:00:00.000 UTC,224979,20646353246.860767
2025-06-25 00:00:00.000 UTC,220753,19498673061.80534
2025-06-26 00:00:00.000 UTC,243917,23156338290.921677
2025-06-27 00:00:00.000 UTC,266752,19440343875.216854
2025-06-28 00:00:00.000 UTC,190799,10666268159.791836
2025-06-29 00:00:00.000 UTC,193812,11584595762.78658
2025-06-30 00:00:00.000 UTC,255155,20911526955.940228
2025-07-01 00:00:00.000 UTC,289034,19153984120.233578
2025-07-02 00:00:00.000 UTC,287784,23469889018.34621
2025-07-03 00:00:00.000 UTC,284044,24083051878.18116
2025-07-04 00:00:00.000 UTC,268619,16743560997.959934
2025-07-05 00:00:00.000 UTC,206418,11016473363.819233
2025-07-06 00:00:00.000 UTC,188896,13193134629.896955
2025-07-07 00:00:00.000 UTC,250586,20180214272.34735
2025-07-08 00:00:00.000 UTC,252184,18136972290.46176
2025-07-09 00:00:00.000 UTC,262397,24409705313.853256
2025-07-10 00:00:00.000 UTC,266195,26779697368.885506
2025-07-11 00:00:00.000 UTC,277357,29963508816.975822
2025-07-12 00:00:00.000 UTC,247969,17579340625.912975
2025-07-13 00:00:00.000 UTC,214271,14110561302.134336
2025-07-14 00:00:00.000 UTC,261628,32501332281.824203
2025-07-15 00:00:00.000 UTC,266550,30361070643.933327
2025-07-16 00:00:00.000 UTC,263252,28684655115.80101
2025-07-17 00:00:00.000 UTC,251605,33381852091.44724
2025-07-18 00:00:00.000 UTC,262853,40383637750.031
2025-07-19 00:00:00.000 UTC,229663,12912968027.74213
2025-07-20 00:00:00.000 UTC,249004,15074893698.038446
2025-07-21 00:00:00.000 UTC,302982,31917111315.509285
2025-07-22 00:00:00.000 UTC,317789,26362866649.782387
2025-07-23 00:00:00.000 UTC,312396,27021247121.91919
2025-07-24 00:00:00.000 UTC,323285,30135733397.8065
2025-07-25 00:00:00.000 UTC,337577,35184919147.21365
2025-07-26 00:00:00.000 UTC,233613,15421083559.469606
2025-07-27 00:00:00.000 UTC,253020,16334732197.899763
2025-07-28 00:00:00.000 UTC,323312,26671165303.73987
2025-07-29 00:00:00.000 UTC,292780,29023132551.53617
2025-07-30 00:00:00.000 UTC,243167,27648005860.732643
2025-07-31 00:00:00.000 UTC,271494,30481156500.674583
2025-08-01 00:00:00.000 UTC,370183,34369918251.94761
2025-08-02 00:00:00.000 UTC,272662,18167676778.89765
2025-08-03 00:00:00.000 UTC,229811,19058705782.20194
2025-08-04 00:00:00.000 UTC,295767,27996440495.077393
2025-08-05 00:00:00.000 UTC,295469,28239877890.33453
2025-08-06 00:00:00.000 UTC,300265,34769237912.069244
2025-08-07 00:00:00.000 UTC,312798,28485770006.41121
2025-08-08 00:00:00.000 UTC,324657,27933972251.44947
2025-08-09 00:00:00.000 UTC,313074,19999235268.8049
2025-08-10 00:00:00.000 UTC,277363,21551280402.210705
2025-08-11 00:00:00.000 UTC,337996,34284952946.127724
2025-08-12 00:00:00.000 UTC,335514,36504404949.045715
2025-08-13 00:00:00.000 UTC,344244,47028665215.16743
2025-08-14 00:00:00.000 UTC,352477,45802507635.05568
2025-08-15 00:00:00.000 UTC,387514,41492904860.09346
2025-08-16 00:00:00.000 UTC,270662,32382513293.88042
2025-08-17 00:00:00.000 UTC,260329,25836708439.039577
